mes_arquivo;grupo_despesa;qtd_pagamentos;valor_total;valor_medio
jan2026;Pessoal e Encargos Sociais;50;47023745,74;940474,91
jan2026;Múltiplo;3;27375263,56;9125087,85
jan2026;Outras Despesas Correntes;7058;12010020,72;1701,62
jan2026;Investimentos;34;1875220,91;55153,56
jan2026;Sem informação;99;172230,59;1739,7
fev2026;Pessoal e Encargos Sociais;45;44600192,29;991115,38
fev2026;Múltiplo;14;32930164,87;2352154,63
fev2026;Outras Despesas Correntes;3551;6504823,24;1831,83
fev2026;Investimentos;40;1251020,53;31275,51
fev2026;Sem informação;27;156176,71;5784,32
abr2026;Pessoal e Encargos Sociais;37;45334348,09;1225252,65
abr2026;Outras Despesas Correntes;2807;14716010,7;5242,61
abr2026;Múltiplo;5;9708834,96;1941766,99
abr2026;Sem informação;567;3289526,42;5801,63
abr2026;Investimentos;20;1276675,88;63833,79
mai2026;Pessoal e Encargos Sociais;41;32443842,55;791313,23
mai2026;Múltiplo;5;20960438,72;4192087,74
mai2026;Outras Despesas Correntes;3206;12071105,66;3765,16
mai2026;Investimentos;56;2313649,32;41315,17
mai2026;Sem informação;46;113538,48;2468,23
