grupo_despesa;elemento_despesa;qtd_pagamentos;valor_total;valor_medio
Múltiplo;Múltiplo;27;90974702,11;3369433,41
Pessoal e Encargos Sociais;Vencimentos e Vantagens Fixas - Pessoal Civil;66;89224628,59;1351888,31
Pessoal e Encargos Sociais;Obrigações Patronais;21;34799240,59;1657106,69
Pessoal e Encargos Sociais;Múltiplo;19;31885555,08;1678187,11
Outras Despesas Correntes;Outros Serviços de Terceiros - Pessoa Juríd;989;21366463,97;21604,11
Outras Despesas Correntes;Locação de Mão-de-Obra;2572;12504466,57;4861,77
Pessoal e Encargos Sociais;Aposentadorias, Reserva Remunerada e Reformas;23;9264047,0;402784,65
Investimentos;Obras e Instalações;73;4825082,24;66097,02
Sem informação;Sem informação;739;3731472,2;5049,35
Outras Despesas Correntes;Material de Consumo;1420;3105872,53;2187,23
Pessoal e Encargos Sociais;Pensões;36;2754971,19;76526,98
Outras Despesas Correntes;Múltiplo;90;2332465,48;25916,28
Outras Despesas Correntes;Auxílio Financeiro a Estudantes;6284;2213540,41;352,25
Investimentos;Equipamentos e Material Permanente;77;1891484,4;24564,73
Pessoal e Encargos Sociais;Contribuição a Entidades Fechadas de Previd;6;1464872,58;244145,43
Outras Despesas Correntes;Despesas de Exercícios Anteriores;341;1057301,44;3100,59
Outras Despesas Correntes;Outros Serviços de Terceiros - Pessoa Físic;2849;476262,22;167,17
Outras Despesas Correntes;Serviços de Tecnologia da Informação e Com;218;437530,75;2007,02
Outras Despesas Correntes;Auxílio Financeiro a Pesquisadores;49;383497,5;7826,48
Outras Despesas Correntes;Auxílio-Alimentação;1;343878,64;343878,64
Outras Despesas Correntes;Material, Bem ou Serviço para Distribuição;471;332880,98;706,75
Outras Despesas Correntes;Indenizações e Restituições;53;295711,92;5579,47
Outras Despesas Correntes;Diárias - Civil;309;258180,56;835,54
Outras Despesas Correntes;Passagens e Despesas com Locomoção;19;75418,18;3969,38
Outras Despesas Correntes;Outros Benefícios Assistenciais do servidor ;4;64603,03;16150,76
Outras Despesas Correntes;Obrigações Tributárias e Contributivas;944;42145,34;44,65
Outras Despesas Correntes;Outros Auxílios Financeiros a Pessoas Físic;9;11740,8;1304,53
Pessoal e Encargos Sociais;Sentenças Judiciais;2;8813,64;4406,82
